UNITID,UGDS,ADM_RATE
114938,4882,NULL
114947,302,NULL
115001,13770,NULL
115010,265,NULL
115083,444,NULL
115126,10987,NULL
115214,NULL,NULL
115296,16630,NULL
115357,63,NULL
115393,11473,NULL
115409,829,0.1287
115658,124,NULL
115728,515,0.4846
115746,NULL,NULL
115755,7956,0.7709
115773,392,NULL
115861,6873,NULL
115931,441,NULL
116226,225,NULL
116350,276,NULL
116439,12281,NULL
116563,173,NULL
116712,136,NULL
116846,63,0.5979
117052,7899,NULL
117104,534,0.9732
117113,1118,NULL
117140,5367,0.4806
117168,567,0.3919
117195,1796,NULL
117238,142,NULL
117247,9482,NULL
117274,1948,NULL
117520,NULL,NULL
117557,138,NULL
117575,72,NULL
117627,1898,0.4593
117636,1038,NULL
117645,23202,NULL
117672,73,NULL
117690,8000,NULL
117706,18099,NULL
117715,5691,NULL
117724,12055,NULL
117733,16203,NULL
117751,1155,0.8318
117788,14238,NULL
117803,200,NULL
117867,8510,NULL
117894,7906,NULL
117928,629,NULL
117946,6126,0.5387
117955,201,NULL
118143,60,NULL
118161,139,NULL
118189,106,NULL
118198,798,0.7725
118259,224,NULL
118277,652,NULL
118286,395,NULL
118347,4482,NULL
118541,942,NULL
118684,3185,NULL
118693,787,0.4087
118718,9478,NULL
118772,5827,NULL
118888,819,0.8441
118912,13905,NULL
118930,6323,NULL
118958,46,NULL
118967,485,NULL
118976,16552,NULL
118994,169,NULL
119058,20,NULL
119067,7217,NULL
119137,13258,NULL
119164,26595,NULL
119173,2779,0.8592
119216,14503,NULL
119270,906,0.8047
119331,5626,NULL
119553,919,NULL
119605,7982,NULL
119775,411,0.9908
119845,151,NULL
119951,339,NULL
120069,218,NULL
120078,315,1
120087,192,NULL
120184,982,0.9668
120254,1957,0.4581
120272,37,NULL
120290,8578,NULL
120342,20465,NULL
120403,1015,0.9295
120421,6506,NULL
120537,940,0.3211
120661,634,1
120698,157,NULL
120768,522,NULL
120795,NULL,NULL
120838,12,NULL
120865,1400,0.4655
120883,3474,0.6599
120953,3388,NULL
120971,21431,NULL
121044,24790,NULL
121150,3528,0.3687
121257,1062,0.1374
121275,202,NULL
121309,2986,0.6942
121345,1547,0.0944
121363,3408,NULL
121433,82,NULL
121619,26204,NULL
121628,NULL,NULL
121637,66,NULL
121691,3169,0.7475
121707,4058,NULL
121859,161,NULL
121868,79,NULL
121886,16714,NULL
121901,17482,NULL
121983,110,NULL
121992,222,NULL
122117,32,NULL
122180,20141,NULL
122205,17806,NULL
122296,650,NULL
122339,14323,NULL
122366,117,NULL
122375,20443,NULL
122384,12793,NULL
122409,29398,0.3464
122436,5604,0.5138
122454,332,0.9261
122506,187,0.4175
122597,24882,0.682
122603,NULL,NULL
122612,6664,0.7137
122649,NULL,NULL
122658,15097,NULL
122685,5553,NULL
122728,1159,0.7251
122746,6840,NULL
122755,26253,0.5344
122791,7779,NULL
122834,422,NULL
122852,104,NULL
122889,13827,NULL
122931,5411,0.483
122977,28154,NULL
123013,18488,NULL
123095,NULL,NULL
123165,1030,0.2988
123217,10581,NULL
123280,46,1
123299,7285,NULL
123341,16357,NULL
123350,135,NULL
123448,NULL,NULL
123457,788,0.5215
123484,2002,NULL
123493,307,NULL
123509,8242,NULL
123527,11023,NULL
123554,2789,0.8039
123563,8219,NULL
123572,8572,0.7627
123633,261,NULL
123642,356,NULL
123651,1765,0.7024
123679,547,0.9046
123800,16952,NULL
123916,NULL,NULL
123943,NULL,NULL
123952,257,NULL
123961,18557,0.1662
123970,NULL,NULL
124113,5550,NULL
124283,NULL,NULL
124292,386,0.7461
124487,171,0.7857
124681,598,NULL
124706,679,0.6411
124779,25,NULL
124937,681,0.8805
125028,11644,NULL
125037,NULL,NULL
125091,9825,NULL
125170,6207,NULL
125231,7329,NULL
125310,25,NULL
125462,3075,NULL
125471,10652,NULL
125499,7118,NULL
125532,1186,0.4588
125718,NULL,NULL
125727,1277,0.8276
125763,1594,0.6945
125897,1103,0.6624
126012,NULL,NULL
126030,NULL,NULL
126049,NULL,NULL
126076,151,0.6406
126119,5722,NULL
126164,13,NULL
126182,1982,0.9857
126207,3603,NULL
126289,6762,NULL
126359,411,0.3196
126401,123,NULL
126562,11228,0.6052
126580,10153,0.9286
126605,478,NULL
126614,27376,0.7662
126669,4697,NULL
126678,2084,0.1599
126687,521,0.8594
126702,811,NULL
126711,3523,NULL
126748,625,NULL
126775,4564,0.4035
126784,170,NULL
126818,23497,0.7796
126827,21986,NULL
126863,4748,NULL
126872,201,NULL
126915,216,NULL
126942,7622,NULL
126951,1033,NULL
126979,NULL,NULL
127060,5738,0.5347
127158,4693,NULL
127185,3443,0.9212
127200,14543,NULL
127219,36,NULL
127228,117,NULL
127273,NULL,NULL
127316,308,NULL
127389,488,NULL
127556,8734,0.8275
127565,19334,0.6387
127617,681,NULL
127653,374,1
127680,194,NULL
127714,693,NULL
127732,1158,NULL
127741,9098,0.9027
127778,875,NULL
127787,142,NULL
127820,10796,NULL
127839,269,NULL
127884,3922,NULL
127909,6538,NULL
127918,4016,0.5659
127945,898,NULL
127954,19,1
128106,3953,0.9638
128151,1204,NULL
128179,742,NULL
128188,942,NULL
128258,1048,NULL
128337,85,NULL
128391,1987,0.9188
128498,1218,NULL
128540,95,NULL
128577,1658,NULL
128674,374,NULL
128683,536,NULL
128726,158,NULL
128744,2941,0.5778
128771,9269,0.6001
128780,1459,NULL
128896,267,NULL
128902,1822,0.3513
129002,198,NULL
129020,19030,0.488
129154,3390,NULL
129181,837,NULL
129215,4818,0.5791
129242,3955,0.6147
129349,154,NULL
129367,2928,NULL
129428,NULL,NULL
129482,415,NULL
129491,NULL,NULL
129525,4924,0.7193
129534,116,NULL
129543,4744,NULL
129695,5794,NULL
129729,5976,NULL
129756,2379,NULL
129774,579,0.8756
129808,3905,NULL
129923,490,NULL
129932,344,NULL
129941,4850,0.8053
129969,156,NULL
130004,4598,NULL
130040,1066,NULL
130110,95,NULL
130174,1928,NULL
130183,6894,0.4071
130217,1434,NULL
130226,7042,0.7644
130253,5325,0.5721
130314,843,0.876
130396,6494,NULL
130448,745,0.7049
130493,7963,0.6352
130509,521,NULL
130581,NULL,NULL
130590,2225,0.3395
130606,3304,NULL
130697,2913,0.1785
130776,5001,0.6683
130794,5471,0.0632
130837,53,NULL
130873,111,NULL
130907,12825,NULL
130934,3692,0.4065
130943,18510,0.695
130989,687,0.5808
131061,136,NULL
131098,1345,0.6047
131113,8377,NULL
131159,7276,0.2591
131283,3220,0.7955
131399,3695,NULL
131405,NULL,NULL
131450,1112,0.6614
131469,11244,0.4021
131496,7112,0.1685
131520,5830,0.3
131803,798,NULL
131830,34,1
131876,1536,0.8855
131973,NULL,NULL
132268,176,NULL
132338,956,NULL
132374,2521,NULL
132408,430,0.5868
132471,3461,0.6159
132602,3741,NULL
132657,2053,0.8173
132675,163,NULL
132693,12321,NULL
132709,38674,NULL
132842,210,0.3953
132851,6154,NULL
132879,181,0.6164
132903,55113,0.4999
132976,194,NULL
133021,1620,NULL
133155,619,NULL
133386,8758,NULL
133465,797,NULL
133492,2028,0.7213
133508,11035,NULL
133526,945,0.577
133553,5407,0.7072
133650,7365,0.3111
133669,24221,0.5978
133702,20507,NULL
133711,2611,0.5505
133809,537,0.7852
133845,445,0.6746
133854,551,0.6104
133863,404,0.7306
133872,1529,0.7629
133881,3419,0.6133
133942,79,NULL
133951,41112,0.5007
133960,798,NULL
133979,1280,0.2496
133997,340,NULL
134024,94,NULL
134079,2567,0.4554
134097,32417,0.5801
134112,4753,NULL
134130,33309,0.4594
134149,162,NULL
134228,35,NULL
134237,17504,NULL
134291,539,NULL
134307,712,NULL
134343,4017,NULL
134422,46,1
134495,23216,NULL
134510,203,NULL
134529,95,NULL
134574,148,NULL
134608,14095,NULL
134680,57,NULL
134714,178,NULL
134811,1863,NULL
134945,2841,0.4918
135063,182,NULL
135081,17789,NULL
135142,218,NULL
135160,2156,NULL
135179,643,NULL
135188,3639,NULL
135267,736,NULL
135276,696,NULL
135294,581,NULL
135337,98,NULL
135364,347,0.7647
135391,8739,NULL
135407,795,NULL
135522,407,NULL
135559,95,NULL
135610,179,NULL
135647,971,NULL
135717,50604,NULL
135726,10577,0.3771
135735,1482,NULL
135771,290,NULL
136066,345,NULL
136109,151,NULL
136145,909,NULL
136172,13585,0.6453
136215,4230,0.5254
136233,4185,NULL
136288,7,NULL
136303,315,NULL
136330,2474,0.9337
136358,26916,NULL
136400,9488,NULL
136473,7723,NULL
136491,766,NULL
136516,8583,NULL
136659,343,NULL
136701,NULL,NULL
136765,642,NULL
136774,1331,0.7814
136783,56,NULL
136826,578,NULL
136950,2642,0.6062
137023,418,NULL
137032,10618,0.6974
137078,25611,NULL
137087,709,NULL
137096,13799,NULL
137120,468,NULL
137148,115,NULL
137209,15602,NULL
137245,1391,NULL
137272,61,1
137281,4807,NULL
137315,2063,NULL
137351,30553,0.4663
137476,839,0.5413
137546,3052,0.656
137564,4171,0.4585
137591,338,NULL
137713,164,NULL
137759,11030,NULL
137777,39,NULL
137801,1329,NULL
137847,7363,0.483
137856,137,NULL
137865,413,NULL
137953,314,0.6476
137962,199,0.7067
138132,78,NULL
138187,38044,NULL
138275,930,0.4359
138284,241,NULL
138293,661,0.4972
138309,7897,NULL
138354,9657,0.4083
138372,412,NULL
138479,722,NULL
138488,236,NULL
138497,288,NULL
138558,3233,0.6561
138600,886,0.6469
138655,492,NULL
138664,53,NULL
138682,2849,NULL
138691,3791,NULL
138716,2576,0.4967
138761,267,1
138789,6180,0.8038
138813,1955,NULL
138822,506,NULL
138840,3469,NULL
138868,1358,0.5144
138901,2486,NULL
138929,NULL,NULL
138938,313,NULL
138947,3093,0.7184
138956,4022,NULL
139010,1878,NULL
139144,2055,0.6209
139153,351,NULL
139199,1638,0.3565
139205,462,NULL
139214,233,0.7895
139250,3174,0.9521
139278,5610,NULL
139287,52,NULL
139311,5752,0.4092
139348,NULL,NULL
139357,2689,NULL
139366,6557,0.5316
139384,4230,NULL
139393,981,0.9624
139463,4780,NULL
139506,158,NULL
139579,627,NULL
139621,2785,NULL
139630,770,0.4055
139658,6717,0.2529
139700,5635,NULL
