STABBR,loan_ever,female,age_entry,md_faminc,md_earn_wne_p10
MA,0.8999999762,0.9399999976,25.6900005341,12384.5,23300
MA,0.9399999976,0.8000000119,25.2800006866,32979,34600
MA,0.9599999785,0.5099999905,20.5900001526,75270.5,49600
MA,0.8899999857,0.6000000238,24.0699996948,33287,45800
MA,0.5799999833,0.5899999738,25.7199993134,32033,37300
MA,1,0.6899999976,22.25,61624,116400
MA,0.9599999785,0.6499999762,21.4799995422,60374,34000
MA,0.9200000167,0.4099999964,21.0100002289,79076,91600
MA,0.9900000095,0.1099999994,19.8299999237,86279,79500
MA,1,0.6800000072,24.7800006866,13148,184900
MA,NA,NA,NA,NA,NA
MA,0,0.1000000015,29.7999992371,1361,NA
MA,0.4300000072,0.6299999952,24.6599998474,29638.5,30600
MA,0.9900000095,0.5099999905,19.6800003052,108518,55400
MA,1,0.8399999738,26.4699993134,51647,NA
MA,0.5,0.6399999857,23.6900005341,29731,33400
MA,0.9900000095,0.6600000262,20.1599998474,75050,25100
MA,0.9900000095,0.9900000095,20.3500003815,73414.5,44100
MA,0.9800000191,0.6999999881,20.5200004578,61177,34700
MA,0.5299999714,0.6899999976,26.2000007629,30193,29500
MA,0.9700000286,0.7400000095,32.4399986267,42140,32100
MA,0.9700000286,0.6200000048,22.2199993134,52613,31600
MA,0.9200000167,0.8999999762,26.1599998474,15762,27500
MA,0.8199999928,0.9499999881,24.3700008392,15757,NA
MA,0.9900000095,0.4199999869,22.2800006866,33084,29500
MA,1,0.7099999785,25.0599994659,5383,88500
MA,NA,NA,NA,NA,NA
MA,1,0.5899999738,26.0300006866,5673,64200
MA,0.9700000286,0.5799999833,24.5799999237,37876,29300
MA,0.9200000167,0.6299999952,21.2399997711,48358.5,38300
MA,0.9800000191,0.3400000036,20.1399993896,81300.5,47100
MA,0.9499999881,0.6299999952,21.8700008392,56421.5,36400
MA,0.9900000095,0.3199999928,31.0699996948,54945.5,30000
MA,0.3300000131,0.6700000167,26.4799995422,20302,29200
MA,1,0.3199999928,21.5900001526,53956,34900
MA,0.9800000191,0.5500000119,20.9300003052,83394,60100
MA,0.349999994,0.6700000167,26.25,22081,29300
MA,0.9900000095,0.7799999714,23.6900005341,71106.5,43700
MA,0.9599999785,1,19.6599998474,34277,34700
MA,NA,NA,NA,NA,NA
MA,0.6499999762,0.7599999905,27.3700008392,28143.5,38400
MA,0.5600000024,0.6399999857,24.6299991608,28151,32300
MA,0.9900000095,0.9900000095,21.7099990845,55309,43300
MA,0,0.7099999785,27.7600002289,12986,32800
MA,NA,NA,NA,NA,NA
MA,0.9300000072,0.6499999762,21.75,51386,40400
MA,0.9200000167,0.8899999857,28.5599994659,19421,28200
MA,0.9900000095,0.9900000095,21.3099994659,67781,51400
MA,0.9300000072,0.5600000024,17.6900005341,67809.5,38200
MA,0.9700000286,0.9900000095,20.7900009155,68708.5,42700
MA,0.7400000095,0.8999999762,30.6000003815,28020.5,39400
MA,0.9800000191,0.6299999952,28.6399993896,50430,45100
MA,0.3400000036,0.6299999952,26.5200004578,18052.5,30200
MA,0.9599999785,0.5099999905,20.6900005341,69531.5,44800
MA,0.9900000095,0.6000000238,19.4899997711,116545,58800
MA,0.9800000191,0.6100000143,20.5100002289,64594,49900
MA,0.8700000048,0.9499999881,24.2700004578,27002.5,NA
MA,0.9800000191,0.5299999714,21.4200000763,64738,67800
MA,0.9599999785,0.9900000095,19.8799991608,74657,56700
MA,0.9800000191,0.2199999988,20.3400001526,81863,54600
MA,NA,NA,NA,NA,NA
MA,NA,NA,NA,NA,NA
MA,NA,NA,NA,NA,NA
MA,0.9900000095,0.400000006,19.9400005341,87684,55100
MA,0.9599999785,0.5500000119,20.4300003052,78180,43300
MA,0.9900000095,0.6200000048,19.4899997711,92594,46400
MA,0.9900000095,0.9499999881,21.3500003815,65102,36400
MA,0.8899999857,0.5299999714,19.3299999237,88403.5,58100
MA,0.9900000095,0.25,19.4799995422,93479,77600
MA,0.9200000167,0.6000000238,21.5900001526,62776.5,43700
MI,0.9900000095,0.4499999881,19.6299991608,71008.5,36500
MI,0.9700000286,0.5600000024,19.2099990845,85027.5,45100
MI,0.8199999928,0.9800000191,26.7999992371,27983.5,NA
MI,0.8799999952,0.0199999996,30.4899997711,15877,28500
MI,0.9800000191,0.6100000143,19.5100002289,74312,44700
MI,0.5899999738,0.5600000024,24.7900009155,22274,27700
MI,0.9599999785,0.5400000215,21.6700000763,53737,36000
MI,0.9499999881,0.6499999762,21.7199993134,72085,38100
MI,0.8000000119,0.7099999785,27.6900005341,26420,26500
MI,0.8000000119,0.7099999785,27.6900005341,26420,26500
MI,0.400000006,0.6200000048,24.9799995422,21282,27800
MI,0,0.8899999857,27.0699996948,12610,NA
MI,NA,NA,NA,NA,NA
MI,0.9800000191,0.5500000119,19.6599998474,93258,40900
MI,1,0.2099999934,27.2099990845,17287,NA
MI,0.75,0.8899999857,32.8100013733,24651.5,29800
MI,NA,NA,NA,NA,NA
MI,0.9700000286,0.5799999833,21,70233.5,40000
MI,0.4900000095,0.6399999857,26.3099994659,18061.5,24900
MI,0.9200000167,0.9499999881,23.6900005341,35762.5,16400
MI,0.9800000191,0.6399999857,31,55340,50500
MI,0.9800000191,0.6399999857,31,55340,50500
MI,0.9700000286,0.5799999833,22.8099994659,66241,39000
MI,NA,NA,NA,NA,NA
MI,0.9700000286,0.3799999952,21.3500003815,65746,40600
MI,0.9100000262,0.7699999809,29.5599994659,26029,29900
MI,0.9100000262,0.7699999809,29.5599994659,26029,29900
MI,0.9100000262,0.7699999809,29.5599994659,26029,29900
MI,0.9100000262,0.7699999809,29.5599994659,26029,29900
MI,0.9100000262,0.7699999809,29.5599994659,26029,29900
MI,0.9100000262,0.7699999809,29.5599994659,26029,29900
MI,NA,NA,NA,NA,29900
MI,NA,NA,NA,NA,29900
MI,NA,NA,NA,NA,29900
MI,NA,NA,NA,NA,29900
MI,NA,NA,NA,NA,29900
MI,NA,NA,NA,NA,NA
MI,0.9700000286,0.9399999976,24.4599990845,44312,16500
MI,0.4900000095,0.6100000143,24.8299999237,24421,28100
MI,0.3300000131,0.9499999881,27.6499996185,10906.5,19900
MI,NA,NA,NA,NA,NA
MI,0.9700000286,0.0599999987,25.8299999237,32300,41600
MI,0.9599999785,0.6700000167,24.9599990845,44772,42200
MI,0.7900000215,0.9399999976,30.1800003052,14858,22800
MI,0.7900000215,0.9399999976,30.1800003052,14858,22800
MI,0.9599999785,0.6000000238,22.5100002289,52069,37300
MI,0.9700000286,0.4900000095,21.8700008392,59172,40300
MI,0.8000000119,0.1099999994,28.4200000763,10627,NA
MI,0.4199999869,0.6899999976,25.7600002289,24467.5,24900
MI,0.9800000191,0.1599999964,19.8400001526,83977,74900
MI,0.6600000262,0.6100000143,24.4899997711,31190.5,26700
MI,0.9100000262,0.5299999714,21.1100006104,49384,NA
MI,0.9599999785,0.6299999952,27.2600002289,55078,35600
MI,0.9300000072,0.9200000167,28.2199993134,17310,22900
MI,0.6499999762,0.5400000215,24.3600006104,28743,28200
MI,0.9599999785,0.6200000048,20.7999992371,72885.5,39100
MI,0.8399999738,0.4199999869,23.2999992371,44638,29100
MI,0.7099999785,0.6399999857,25.2600002289,21233,29200
MI,0.9800000191,0.6100000143,19.4500007629,91493,43300
MI,0.9499999881,0.1700000018,25.8099994659,26260.5,38400
MI,0.5099999905,0.6800000072,26.3600006104,27640.5,29100
MI,0,0.9599999785,27.2800006866,10500,NA
MI,0.9800000191,0.5899999738,19.2199993134,97614,49400
MI,0.4499999881,0.5899999738,25.0499992371,21691,28700
MI,0.6399999857,0.6800000072,27.2099990845,26746,28800
MI,0.5500000119,0.6600000262,26.6200008392,23783.5,25400
MI,0.0500000007,0.9599999785,26.1499996185,15066,NA
MI,0.0599999987,0.6899999976,26.2800006866,18108,24600
MI,0.9300000072,0.5199999809,22.4400005341,48687,35700
MI,0.6600000262,0.6000000238,25.6200008392,25131,29600
MI,0.9499999881,0.2800000012,22.1000003815,63620,53700
MI,0.2199999988,0.9300000072,25.3799991608,15025,NA
MI,0.349999994,0.6299999952,25.6700000763,26117.5,30000
MI,0.9499999881,0.8100000024,27.4300003052,41119.5,36500
MI,0.9300000072,0.7400000095,28.6800003052,20826,26800
MI,0.9599999785,0.6499999762,27.4899997711,43866,34500
MI,0.9599999785,0.5500000119,20.8799991608,69630,57900
MI,0,0.1700000018,27.0400009155,4580.5,15400
MI,0.9599999785,0.5699999928,20.2000007629,78152,49800
MI,0.9700000286,0.2099999934,19.9200000763,76868.5,60100
MI,0.8799999952,0.5799999833,23.4599990845,38952,47400
MI,0.9200000167,0.6600000262,25.0699996948,38562,40100
MI,0.6499999762,0.6100000143,24.7399997711,26471,27400
MI,0.3300000131,0.6700000167,25.8600006104,23854.5,26400
MI,0.5600000024,0.7200000286,26.8799991608,27406,27300
MI,0.4799999893,0.8600000143,29.5499992371,14709,11900
MI,0.8000000119,0.7099999785,27.6900005341,26420,26500
MI,0.3600000143,0.6100000143,24.6000003815,26932,25800
IL,0.9300000072,0.8999999762,26.6100006104,21074,23000
MI,0.9200000167,0.8299999833,27.3400001526,12451,21200
MI,0.4300000072,0.6899999976,25.8600006104,23542,25100
MI,0.9499999881,0.5400000215,21.3400001526,57707,34800
MI,0.6800000072,1,24,13174,NA
MI,0.75,0.5899999738,24.7600002289,31693,28200
MI,0.9499999881,0.5400000215,25.4599990845,49456,44600
MI,0.4499999881,0.6999999881,26.5499992371,21283,29600
MI,0.9399999976,0.6600000262,22.1900005341,56986,42600
MI,0.9700000286,0.4099999964,20.3700008392,57515,34100
MI,0.6999999881,0.9599999785,26.2600002289,26814.5,NA
MI,0.9499999881,0.5699999928,22.25,60731,29000
MI,0.8399999738,0.9599999785,28.8500003815,19752,23000
MI,0.7900000215,0.9499999881,29.1499996185,14208.5,24600
MI,0.8399999738,0.9700000286,29,17431.5,19900
MI,0.5699999928,0.5699999928,36.3499984741,20359,NA
MI,0.9499999881,0.6200000048,22.3899993896,51643,37800
MI,0.3899999857,0.6700000167,26.8999996185,23667,31000
MI,0.9499999881,0.6100000143,26.8999996185,48925,38100
MI,0.5400000215,0.6899999976,26.5100002289,30338.5,29300
MI,0.1099999994,0.6899999976,26.3400001526,19434,25000
MI,0.9399999976,0.349999994,24.2900009155,31817.5,27100
MI,0.9700000286,0.7099999785,28.6100006104,55009.5,40400
MI,0,0.1899999976,25.7900009155,6438,14600
MI,0.9599999785,0.6499999762,22.3199996948,41922.5,26600
MI,NA,NA,NA,NA,NA
MI,0.9100000262,0.9499999881,25.9099998474,27295,14400
MI,0.9100000262,0.5500000119,26.8899993896,39217.5,54500
MI,0.6800000072,0.5799999833,26.7000007629,21402,27200
MI,0.3199999928,0.7200000286,27.9699993134,14289,24000
MI,0.8799999952,0.6200000048,23.4500007629,30304.5,41500
MI,0.349999994,0.6600000262,26.4300003052,22163.5,24300
MI,0.9700000286,0.5199999809,20.3700008392,74325,42700
MI,NA,NA,NA,NA,NA
MI,0,0.9700000286,27.8500003815,12879,17300
MN,0.9200000167,0.5199999809,27.0200004578,25296,38300
MN,0.8299999833,0.4399999976,22.2199993134,47090.5,35600
MN,0,0.6999999881,33.6500015259,0,NA
MN,0.8299999833,0.5600000024,27.1299991608,41956,37200
MN,0.8000000119,0.6600000262,24.0200004578,47728,36500
MN,0.8000000119,0.6600000262,24.0200004578,47728,36500
MN,0.9599999785,0.5899999738,24.3799991608,60818,44800
MN,0.8100000024,0.5600000024,24.5499992371,36700,32000
MN,0.8500000238,0.6899999976,26.0400009155,29770,NA
MN,0.9200000167,0.5600000024,23.0799999237,53717,37300
MN,0.9900000095,0.5500000119,20.0300006866,68546.5,34000
MN,0.9700000286,0.6100000143,22.4899997711,82520,44000
MN,0.9700000286,0.6100000143,22.4899997711,82520,44000
MN,0.7900000215,0.5199999809,23.5699996948,36067.5,32000
MN,0.7900000215,0.5199999809,23.5699996948,36067.5,32000
MN,0.9700000286,0.5500000119,19.3999996185,91175.5,46100
MN,0.9800000191,0.6100000143,19.6800003052,84068,41200
MN,0.9800000191,0.6200000048,26.1800003052,57993.5,45300
MN,0.8600000143,0.4799999893,27.2600002289,47605,34400
MN,0.8600000143,0.5400000215,19.8899993896,63952,40400
MN,0.8600000143,0.5799999833,24.6599998474,36916.5,34000
MN,0.9499999881,0.9399999976,23.2700004578,31249,NA
MN,0.9599999785,0.8299999833,26.9899997711,18158,25500
MN,0.8999999762,0.5600000024,23.7399997711,41745.5,32900
MN,0.8999999762,0.5600000024,23.7399997711,41745.5,32900
MN,0.8999999762,0.5600000024,23.7399997711,41745.5,32900
MN,0.8999999762,0.5600000024,23.7399997711,41745.5,32900
MN,0.9300000072,0.7599999905,26.0599994659,31603,31100
MN,0.8500000238,0.5299999714,24.1000003815,39391.5,32400
MN,0.9900000095,0.5899999738,19.4400005341,93107,50100
MN,0.9800000191,0.6200000048,22.7800006866,61451,46900
MN,NA,NA,NA,NA,NA
MN,0.7599999905,0.5199999809,27.0699996948,31768,33900
MN,0.9399999976,0.9399999976,25.2999992371,19177,NA
MN,0.8399999738,0.4900000095,24.6800003052,27158,34600
MN,0.9900000095,0.9599999785,22.7099990845,60379,27700
MN,0.8199999928,0.6299999952,24.5400009155,40885,38400
MN,0.8000000119,0.4399999976,23,39720,30300
MN,0.9499999881,0.5699999928,23.6599998474,46258,33000
MN,1,0.5199999809,26.4899997711,10532,NA
MN,0.9900000095,0.6000000238,19.3799991608,85439.5,45700
MN,0.8500000238,0.6100000143,24.3299999237,41858,32300
MN,0.8500000238,0.6100000143,24.3299999237,41858,32300
MN,0.9599999785,0.5400000215,20.7999992371,71852,42700
MN,0.9200000167,0.9599999785,22.7000007629,39984,19600
MN,0.9599999785,0.7400000095,27.5699996948,43368,NA
MN,0.9599999785,0.7400000095,27.5699996948,43368,NA
MN,0.9700000286,0.8100000024,28.5,36072,38200
MN,0.8299999833,0.4699999988,24.9500007629,26689.5,NA
MN,0.8299999833,0.4699999988,24.9500007629,26689.5,NA
MN,0.9100000262,0.6200000048,27.7399997711,34503,43600
MN,0.9499999881,0.5500000119,20.8700008392,72908.5,47800
MN,0.9499999881,0.4399999976,21.8099994659,56026,39900
MN,0.9700000286,0.7300000191,20.9899997711,48998,35100
MN,0.9900000095,0.5199999809,20.9799995422,77197,31400
MN,0.75,0.5299999714,26.8299999237,19202.5,32800
MN,0.9800000191,0.8999999762,25.8600006104,30648.5,42300
MN,0.8500000238,0.9700000286,25.4300003052,27599,NA
MN,0.8700000048,0.4600000083,22.1000003815,54181,27900
MN,0.9700000286,0.5099999905,20.3400001526,83294.5,43300
MN,0.9399999976,0.5899999738,20.2000007629,71476,38800
MN,0.9599999785,0.6999999881,26.1399993896,33023,35700
MN,0.9300000072,0.9800000191,20.75,54566,18000
MN,0.9700000286,0.5799999833,21.1000003815,64384,37000
MN,0.7599999905,0.6299999952,25.2800006866,36411.5,36600
MN,0.9399999976,0.7599999905,29.7299995422,29341.5,37800
MN,0.9599999785,0.3799999952,24.1900005341,35619.5,33700
MN,0.7900000215,0.6000000238,23.8799991608,36505.5,37000
MN,0.9599999785,0.5699999928,20.4200000763,60825,29600
MN,0.9200000167,0.5899999738,24.4500007629,34385,34500
MN,0.8999999762,0.5600000024,23.7399997711,41745.5,34500
MN,0.9800000191,0.2199999988,22.3600006104,62438.5,43200
MN,0.9499999881,0.5799999833,23.3600006104,65093,35300
MN,1,0.5699999928,25.5799999237,14880,42500
MN,0.9399999976,0.4600000083,21.7999992371,43608.5,25500
MN,0.9200000167,0.9599999785,22.7000007629,39984,19600
MN,0.8299999833,0.7400000095,27.7299995422,31830,26900
MN,0.8700000048,0.400000006,23.0799999237,29881,27200
MN,0.8399999738,0.6200000048,23.7000007629,44688,35000
MN,0.9800000191,1,19.4500007629,94964,47600
MN,0.8399999738,0.5400000215,23.1200008392,47089.5,35600
MN,0.9200000167,0.9599999785,22.7000007629,39984,19600
MN,0.9399999976,0.5699999928,21.3899993896,66431,40800
MN,0.9900000095,0,19.5499992371,99495,55900
MN,0.9599999785,0.5400000215,22.9400005341,75332,41600
MN,0.9900000095,0.5699999928,19.4400005341,98006,44800
MN,0.8999999762,0.6000000238,26.2399997711,53587.5,31600
MN,0.9599999785,0.7200000286,24.0599994659,63879,47500
MN,0.9800000191,0.5199999809,20.1200008392,96397,54300
MN,0.9599999785,0.9700000286,23.8500003815,41002.5,23200
MN,0.9700000286,0.9599999785,25.2600002289,52083.5,45300
MN,0.9800000191,0.8399999738,27.7700004578,31788.5,31300
MN,NA,NA,NA,NA,31300
MN,NA,NA,NA,NA,31300
MN,NA,NA,NA,NA,31300
MN,NA,NA,NA,NA,31300
MN,NA,NA,NA,NA,31300
MN,NA,NA,NA,NA,31300
MN,0.7200000286,0.6000000238,27.7700004578,18546,31500
MN,0.9499999881,0.5500000119,21.8500003815,56016,35600
MN,0,0.3300000131,28.4200000763,4621,17800
MN,NA,NA,NA,NA,NA
MN,0.9399999976,0.1899999976,21.25,46402,31600
MN,0.9399999976,0.0799999982,24.4599990845,42102,46400
MN,0.8600000143,0.5600000024,22.7299995422,44267,32300
MN,0.8600000143,0.5600000024,22.7299995422,44267,32300
MN,0.8899999857,0.5600000024,25.3099994659,39817,32800
MN,0.8899999857,0.5600000024,25.3099994659,39817,32800
MN,0.9599999785,0.6399999857,20.7099990845,80304,41900
MN,1,0.6100000143,26.2600002289,13675,68200
MN,0.7699999809,0.6200000048,24.5599994659,36019,35000
MS,0.9200000167,0.6299999952,22.8299999237,21250,30600
MS,0.9499999881,0.6800000072,29.3899993896,36084,37900
MS,0.8500000238,0.7799999714,24.4500007629,34940,31300
MS,0,0.8700000048,25.3700008392,11384,16100
MS,0,0.6499999762,24.9799995422,13012.5,20700
MS,0.9300000072,0.8199999928,28.0400009155,15166,22700
MS,0.400000006,0.6600000262,24.1599998474,17828.5,25700
MS,NA,NA,NA,NA,25700
MS,NA,NA,NA,NA,25700
MS,0,0.9800000191,26.7999992371,13437.5,17300
MS,0,0.9100000262,26.6499996185,9433,14400
MS,0.8799999952,0.6399999857,22.9300003052,25297.5,33800
MS,0.4600000083,0.6299999952,24.0100002289,22087.5,27200
MS,0.7300000191,0.6299999952,24.9599990845,17151,25700
MS,0,0.5600000024,25.7900009155,11403.5,NA
MS,0,0.7300000191,26.3299999237,10938.5,16100
MS,0.6399999857,0.6499999762,24.1599998474,19631.5,25400
MS,0.6200000048,0.7099999785,24.9899997711,18236,28300
MS,0.6200000048,0.6499999762,24.6900005341,21691.5,27200
MS,0.9100000262,0.6399999857,23.1399993896,21113,29500
MS,0.4499999881,0.6200000048,22.6399993896,19346.5,26700
MS,0.4600000083,0.6999999881,24.6000003815,19517,24200
MS,0.9599999785,0.4699999988,20.1599998474,65693,45200
MS,0,0.6499999762,24.2099990845,15797.5,23900
MS,0.9100000262,0.5699999928,22.1499996185,46826.5,40600
MS,0.9100000262,0.5699999928,22.1499996185,46826.5,40600
MS,0.8899999857,0.8600000143,24.1299991608,26756,34800
MS,0.8999999762,0.6200000048,23.6399993896,17447,22400
MS,0.9399999976,0.6399999857,23.5699996948,37912,38200
MS,0,0.9900000095,26.0400009155,12628.5,NA
MS,0.2700000107,0.6700000167,25.0100002289,19801,28400
MS,0.8999999762,0.5199999809,21.8099994659,41243.5,39600
MS,0.5099999905,0.5899999738,22.8899993896,25902,29300
MS,0.4499999881,0.6600000262,23.9099998474,22047,26900
MS,0.3799999952,0.6600000262,23.9899997711,17254.5,28100
MS,0.3799999952,0.6600000262,23.9899997711,17254.5,28100
MS,0.8399999738,0.6100000143,20.9200000763,19293,22900
MS,0,0.4499999881,30,17072.5,NA
MS,0,0.6499999762,23.8999996185,15598.5,25600
MS,0.9200000167,0.6299999952,22.6399993896,29062,36200
MS,0.6299999952,0.9800000191,26.8400001526,13777,18500
MS,0.8799999952,0.6899999976,20.4400005341,24466,29500
MS,NA,NA,NA,NA,NA
MS,0.8199999928,0.7400000095,24.5200004578,25265,34100
MO,0.9399999976,0.8700000048,27.0499992371,19177,21500
MO,NA,NA,NA,NA,NA
MO,1,0.4799999893,28.4599990845,11347,NA
MO,0.9700000286,0.6600000262,23.7600002289,53028,41600
MO,0.9700000286,0.2700000107,25.3600006104,25161.5,38400
MO,0.8600000143,0.4699999988,21.4599990845,47731,29500
MO,0.8899999857,0.9399999976,24.3299999237,20102,NA
MO,0.9399999976,0.8999999762,28.1200008392,31452.5,43800
MO,0.7900000215,0.4399999976,25.3199996948,35748,30600
MO,0.7900000215,0.6800000072,30.5499992371,23391.5,29300
MO,0.8899999857,0.4900000095,21.9099998474,42984,28100
MO,0.9200000167,0.6100000143,24.2900009155,44654,33400
MO,0.9399999976,0.5699999928,21.7900009155,56271,36600
MO,0,0.2199999988,24.7000007629,22710,23700
MO,0.8899999857,0.9499999881,26.3199996948,22572,NA
KS,1,0.3400000036,26.2700004578,32083,37800
MO,0.2700000107,0.8299999833,28.6800003052,14803,35800
MO,0.8299999833,0.6999999881,28.8999996185,32211.5,37600
MO,0.7799999714,0,22.8799991608,45413.5,NA
MO,NA,NA,NA,NA,NA
MO,0.9399999976,1,19.4799995422,66420.5,27400
MO,NA,NA,NA,NA,NA
MO,0.4900000095,0.6800000072,25.3700008392,25016,26500
MO,0.9700000286,0.5299999714,20.8999996185,59583,36100
MO,0.8600000143,0.6600000262,26.1599998474,31562.5,32200
MO,0.5600000024,0.6899999976,25.1499996185,26997,26700
MO,NA,NA,NA,NA,NA
MO,0.7099999785,0.9499999881,25.75,10519,14700
MO,0.8999999762,0.6299999952,28.1299991608,16175,32000
MO,0.9599999785,0.6000000238,21.5799999237,58776,34000
MO,0.9700000286,0.75,27.4400005341,45291,40200
MO,NA,NA,NA,NA,NA
MO,0.8899999857,0.9300000072,26.7800006866,33318.5,NA
MO,0.6000000238,0.5899999738,24.8999996185,24582,27500
MO,0.9399999976,0.6899999976,24.2099990845,49635,33900
MO,0.8399999738,0.6999999881,25.3899993896,19450,27900
MO,0.9700000286,0.75,21.7199993134,49305,30500
MO,0.7099999785,0.8799999952,24.3899993896,1492.5,15600
MO,0.8899999857,0.9599999785,23.6599998474,33351,20300
MO,0.5600000024,0.6200000048,24.6299991608,30632,28900
MO,0,0.9100000262,21.7000007629,16737,NA
MO,0.9700000286,0.8899999857,28.5699996948,40874.5,54900
MO,0.9900000095,0.5600000024,20.5900001526,67036,25800
MO,NA,NA,NA,NA,NA
MO,1,0.4199999869,26.7700004578,14209.5,199600
MO,0,0,24.2000007629,15998,NA
MO,0.9100000262,0.7400000095,27.5799999237,26553,NA
MO,0.8999999762,0.6000000238,21.7900009155,30160,30300
MO,0.9700000286,0.5799999833,23.9300003052,62127,39700
IL,NA,NA,NA,NA,NA
MO,0.8799999952,0.1099999994,21.6100006104,45259,36400
MO,1,0.349999994,25.5100002289,12339,36200
MO,0.4099999964,0.6700000167,26.1900005341,22683.5,29400
MO,NA,NA,NA,NA,46900
MO,0.9800000191,0.7799999714,23.8600006104,65418,44500
MO,0.8799999952,0.9499999881,23.1599998474,24743,NA
MO,0.9200000167,0.9100000262,27.2299995422,16151,21500
MO,0.8799999952,0.9399999976,28.2999992371,13574,24200
MO,0.8799999952,0.2099999934,29,37312,NA
MO,0.4900000095,0.6499999762,24.9599990845,22770,25800
IL,0.9700000286,0.6100000143,25.6800003052,25671,32400
MO,0.9300000072,0.6200000048,23.5300006866,50739.5,33100
MO,0.150000006,0.9800000191,24.9099998474,11500,NA
MO,0.9599999785,0.8700000048,25.2999992371,21196,24600
MO,0.9399999976,0.2399999946,28.6100006104,14861,NA
MO,0.8600000143,0.5799999833,24.2299995422,32426,32800
MO,1,0.1599999964,25.4599990845,29993,37300
MO,0.9499999881,0.3899999857,20.7000007629,49223.5,33400
MO,0.8700000048,0.5799999833,22.2299995422,38705,32400
MO,0.9700000286,0.5400000215,20.2800006866,80508.5,46000
MO,0.9499999881,0.6000000238,23.3099994659,40642,43100
MO,0.9599999785,0.2300000042,20.4500007629,71244,65500
MO,0.9499999881,0.6200000048,24.0100002289,37821,40400
MO,0.5699999928,0.6600000262,24.0900001526,25168.5,27800
MO,0.3700000048,0.6800000072,29.6599998474,21543,34400
MO,0.9200000167,0.9599999785,24.1299991608,29676,18700
MO,NA,NA,NA,NA,NA
MO,0.8799999952,0.9499999881,26.5200004578,17057,11600
MO,0.7400000095,0.8100000024,26.4599990845,27739,NA
MO,0.9399999976,0.6100000143,19.6499996185,80910,42700
MO,0.9399999976,0.5600000024,20.3199996948,62365.5,38900
MO,0.8299999833,0.4900000095,20.5400009155,46996,28200
MO,0,0.6000000238,20.0699996948,32674.5,31700
MO,0.8000000119,0.6700000167,29.5300006866,34549,43900
MO,0.9599999785,0.9200000167,24.1200008392,24870,26200
MO,0.3600000143,0.8700000048,28.2099990845,20187,NA
MO,0.9100000262,0.0700000003,22.3799991608,54838,46500
MO,0.9700000286,0.8199999928,26.6200008392,36510.5,54900
MO,0.9700000286,0.6299999952,22.0200004578,73905.5,47600
MO,0.7599999905,0.6399999857,27.9300003052,20657,26000
MO,0.9399999976,0.7599999905,26.5499992371,17078,23000
MO,0.9800000191,0.6200000048,20.8700008392,87461,55200
MO,0,1,23.5200004578,10538.5,NA
MO,0.9399999976,0.8399999738,27.8600006104,16770.5,29300
MO,0.7099999785,1,25.9200000763,14943.5,NA
MO,0.6600000262,0.9399999976,29.2199993134,14036.5,30600
MO,0.9100000262,0.4199999869,27,44069.5,29700
MO,0.9900000095,0.5899999738,19.7099990845,93498,111600
MO,0.2700000107,0.6800000072,25.4699993134,17723.5,27800
KS,NA,NA,NA,NA,NA
MO,0.8999999762,0.6600000262,23.5499992371,45779.5,32800
MO,0.5500000119,0.6399999857,23.7800006866,24108,25400
MO,0.8799999952,0.8799999952,25.2900009155,31808,NA
MO,0.9900000095,0.9200000167,26.7399997711,51266.5,60400
MO,0.8899999857,0.9200000167,27.9500007629,12191,21900
MO,0.6899999976,0.6399999857,24.8099994659,28702,29200
MO,0.9599999785,0.9599999785,22.8199996948,58312,30700
MO,0.8999999762,0.6299999952,22.6100006104,47781,36000
MO,0.9399999976,0.5699999928,21.5799999237,57869.5,37200
MO,0.3799999952,0.6700000167,24.8500003815,19816,26400
MO,0.6899999976,0.7099999785,25.2900009155,29049,27700
MO,0.7400000095,0.8399999738,30.6000003815,25246.5,28100
MO,NA,NA,NA,NA,NA
MO,NA,NA,NA,NA,NA
MO,0.9900000095,0.5299999714,21.3899993896,77947.5,62300
MO,0.9700000286,0.6100000143,24.0300006866,61052,39400
MO,0.6899999976,0.6299999952,24.7399997711,25505,26600
MO,0.9399999976,0.5199999809,19.9099998474,64767,41500
MO,0.9800000191,0.6200000048,21.4400005341,75990.5,40300
MO,0.9499999881,0.7400000095,24.2199993134,58119,34200
MT,0.8000000119,0.9800000191,22.2700004578,27893,NA
MT,0,0.5400000215,27.1100006104,11381,15800
MT,0.8000000119,0.9499999881,23,11272,NA
MT,0.9200000167,0.4900000095,25.0699996948,33463,39800
MT,NA,NA,NA,NA,NA
MT,0.9700000286,0.5799999833,20.6499996185,68497,44000
MT,0.6800000072,0.5299999714,25.6000003815,35825.5,30800
MT,0,0.6899999976,26.3899993896,7549,16800
MT,0.9100000262,0.6399999857,25.1000003815,33434,32500
MT,NA,NA,NA,NA,32500
MT,0.4300000072,0.6999999881,27.1000003815,19721,25000
MT,0,0.5199999809,24.6599998474,8775,20300
MT,0,0.5699999928,28.2800006866,7018,16300
MT,0.8399999738,0.7200000286,27.8199996948,23219.5,26600
MT,0.9599999785,0.6000000238,24.4099998474,31885,31000
MT,0.8700000048,0.5400000215,25.8999996185,26971,31000
MT,0,0.6200000048,24.4500007629,14831,11800
MT,0.7699999809,0.6399999857,24.6200008392,33187,27200
