STABBR,loan_ever,female,age_entry,md_faminc,md_earn_wne_p10
AZ,0.9100000262,0.7900000215,27.2800006866,19511,26300
AZ,0.6399999857,0.6499999762,29.5400009155,21636,29800
AZ,0.6700000167,0.5699999928,24.8999996185,26831,36000
AZ,0.9499999881,0.2300000042,24.6800003052,23423,38400
AZ,0.9399999976,0.25,25.8799991608,26790,38400
AZ,0.5699999928,0.7200000286,29.3600006104,16976.5,26700
AZ,0.9700000286,0.0299999993,24.7999992371,38622.5,33800
AZ,0,0.6700000167,25.4699993134,16523,22500
AZ,0.9100000262,0.6299999952,23.6200008392,43127,38800
AZ,0,0.7400000095,28.4799995422,15569,22100
AZ,0.9800000191,0.6800000072,30.8099994659,45681,40700
AZ,0.5099999905,0.6399999857,26.4200000763,20846,32500
AZ,0.9300000072,0.75,28.75,26600,25400
AZ,0.9200000167,0.6700000167,32.2299995422,35946.5,53400
AZ,0.4600000083,0.5899999738,26.3099994659,20626,30100
AZ,0.9100000262,0.8500000238,27.7000007629,20361,27600
NM,0.9100000262,0.8500000238,27.7000007629,20361,27600
AZ,0.9499999881,0.6899999976,29.8199996948,29669,35200
AZ,0.8899999857,0.0199999996,31.1700000763,27100.5,37700
AZ,0.7799999714,0.7599999905,30.2700004578,26809,36600
AZ,0.9499999881,0.0299999993,25.5200004578,35738,23000
AZ,0.6800000072,0.8399999738,24.0799999237,3667,12600
AZ,0.7599999905,0.5600000024,25.0900001526,27247.5,35700
AZ,0.2399999946,0.6499999762,25.8400001526,20030,27100
AZ,0.9200000167,0.5099999905,22.2999992371,43195,31000
AZ,0.8899999857,0.8500000238,28.1700000763,13307,24100
AZ,0.9700000286,0.0299999993,21.6499996185,46537,43400
AZ,0.9399999976,0.7400000095,31.5300006866,29442,52600
AZ,0.8799999952,0.9399999976,25.1299991608,16203,19200
AZ,0.349999994,0.6100000143,27.9899997711,18474,28200
AR,0.9200000167,0.6499999762,25.1399993896,26332.5,34800
AR,0.9599999785,0.7900000215,25.7800006866,34993,62400
AR,0.7599999905,0.7699999809,27.5100002289,16534.5,NA
AR,0.6700000167,0.5,26.2999992371,13335,21100
AR,0.4900000095,0.9800000191,24.8799991608,6888.5,NA
AR,NA,NA,NA,NA,NA
AR,0.9200000167,0.5699999928,20.8999996185,49042.5,37200
AR,0.8500000238,0.4799999893,27.0200004578,13630,16900
AR,NA,NA,NA,NA,16900
AR,0.3899999857,0.9399999976,25.8199996948,13634,15000
AR,0.9100000262,0.5199999809,21.4599990845,52612,43600
AR,0.9300000072,0.5500000119,21.5100002289,23857,27400
AR,0.6499999762,0.6499999762,25.5,25402.5,NA
AR,0.8500000238,0.6299999952,23.9799995422,27550,32700
AR,0.8399999738,0.5500000119,23.0499992371,31932,35000
AR,0.7900000215,0.6000000238,23.8199996948,22739,33600
AR,0.6100000143,0.9399999976,25.2199993134,14303,15400
AR,0.0799999982,0.8999999762,28.3600006104,21042,42100
AR,0.5400000215,0.6299999952,26.2199993134,21742,26600
AR,0.8999999762,0.5799999833,21.1000003815,39480,37100
AR,0.8999999762,0.4600000083,24.4699993134,44821,35700
AR,0,0.7900000215,26.6000003815,18424,21000
AR,0.9300000072,0.3700000048,20.3299999237,43678,31100
AR,0,0.5400000215,28.9899997711,12915,20200
AR,0.2099999934,0.6899999976,25.3899993896,17240.5,23100
AR,0.7599999905,0.9499999881,27.1700000763,13784,19700
AR,0.0500000007,0.9499999881,25.5699996948,11231,NA
AR,0.4199999869,0.6899999976,26.5300006866,17997,25000
AR,0.6000000238,0.6600000262,26.4200000763,21215,23900
AR,0.9599999785,0.5500000119,20.5900001526,76594,38600
TN,NA,NA,NA,NA,38600
AR,0.8700000048,0.5799999833,22.0900001526,32258,35200
AR,0.9700000286,0.5899999738,19.4799995422,80333,40500
AR,0.0599999987,0.9399999976,24.8700008392,19121.5,14000
AR,0.7300000191,0.8799999952,26.7000007629,23823,NA
AR,0.9300000072,0.5400000215,25.4300003052,53841.5,46200
AR,0.5,0.8999999762,23.8700008392,12996,NA
AR,0.0099999998,0.9499999881,24.7600002289,13910,NA
AR,NA,NA,NA,NA,NA
AR,NA,NA,NA,NA,NA
AR,NA,NA,NA,NA,NA
AR,0,0.9200000167,26.3600006104,9165,NA
AR,0.1299999952,0.9599999785,27.2900009155,13864.5,NA
AR,0,0.7099999785,25.8400001526,16551,21800
AR,0.2300000042,0.7099999785,25.6599998474,17126,22500
AR,0.0599999987,0.9599999785,25.8799991608,10781.5,NA
AR,0.7300000191,0.4399999976,25.1000003815,10693,13400
AR,0.5,0.6299999952,26.5300006866,17775.5,25500
AR,0,0.5799999833,27.8299999237,15520,27800
AR,0.8999999762,0.5199999809,19.5900001526,71658,37500
AR,0.349999994,0.7200000286,26.7600002289,22925.5,24100
AR,0.6200000048,0.7099999785,28.1399993896,16184,25200
AR,0.9100000262,0.5400000215,20.4599990845,44123,31100
AR,0.4099999964,0.6600000262,25.6100006104,20671,25600
AR,0.9300000072,0.6399999857,22.6800003052,21262,26200
AR,0.1899999976,0.7300000191,25.1000003815,14807,21200
AR,0.4099999964,0.75,27.2399997711,17227,26700
AR,0.0299999993,0.9800000191,24.7700004578,14072,NA
AR,0.8799999952,0.6899999976,27.7199993134,19631,28700
AR,0.1800000072,0.6899999976,25.8600006104,18263,23000
AR,0,0.75,26.7099990845,14707,21300
AR,0.4499999881,0.9499999881,25.2900009155,17511.5,NA
AR,0.4799999893,0.9300000072,27.6399993896,12367,11100
AR,NA,NA,NA,NA,NA
AR,0.8600000143,0.5799999833,21.2399997711,39189,32300
AR,0.5799999833,0.7900000215,27.7299995422,17973.5,26100
AR,0.8100000024,0.5699999928,22.4099998474,27662,35900
AR,0.4300000072,0.6499999762,25.6000003815,21269.5,26800
AR,0,0.9599999785,28.1599998474,10966,NA
AR,0.6999999881,0.6299999952,24.2900009155,25892,29900
CA,0.9700000286,0.5199999809,24.4799995422,37597,36100
CA,0.9599999785,0.200000003,24.4899997711,29467.5,38400
CA,NA,NA,NA,NA,NA
CA,0.9200000167,0.4300000072,26.5100002289,19742,28500
CA,0.0500000007,0.9800000191,25.4500007629,0,16200
CA,0.0399999991,0.5699999928,25.8500003815,10203.5,34300
CA,0.0799999982,0.6299999952,24.8600006104,18901.5,29500
CA,0.9499999881,0.5899999738,21.4699993134,43164,30200
CA,NA,NA,NA,NA,NA
CA,NA,NA,NA,NA,NA
CA,NA,NA,NA,NA,NA
CA,0.8799999952,0.7900000215,25.8299999237,15660,29800
CA,1,0.400000006,25.2700004578,6272,NA
CA,0.2300000042,0.6399999857,27.3899993896,10705,27600
CA,0.9300000072,0.8899999857,27.3600006104,14367.5,21400
CA,0.3100000024,0.6399999857,26.5799999237,10738,27000
CA,0.9499999881,0.349999994,23.5400009155,28815,51700
CA,0.0099999998,0.7099999785,33.9599990845,11123.5,21900
CA,0.0399999991,0.2300000042,28.2800006866,0,19500
CA,0.9800000191,0.6600000262,24.5100002289,72335.5,49000
CA,0.0700000003,0.6600000262,24.5300006866,15755,29700
CA,0,0.6499999762,27.7199993134,14594.5,31800
CA,0.8999999762,0.9300000072,24.5,19508,14800
CA,0.4399999976,0.5,35.9399986267,21813.5,NA
CA,0.9700000286,0.6100000143,22.2099990845,71594,40700
CA,0.9900000095,0.4799999893,22.1700000763,51937.5,29100
CA,0.7300000191,0.0299999993,30.9200000763,21701,NA
CA,0.9599999785,0.9200000167,30.6800003052,34515,42300
CA,0.3799999952,0.5500000119,24.8999996185,14660,29800
CA,NA,NA,NA,NA,NA
CA,0.9700000286,0.6999999881,36.7799987793,25628,NA
CA,0.2099999934,0.5899999738,25.6000003815,15360,32100
CA,0.9700000286,0.6800000072,23.8600006104,63947,41800
CA,0.9599999785,0.6100000143,23.0200004578,37618,35700
CA,1,0.5799999833,25.6200008392,12935,107900
CA,0.8299999833,0.3100000024,19.7900009155,53201,74000
CA,0.9599999785,0.5799999833,21.7299995422,76461,52900
CA,0.9200000167,0.4399999976,20.3999996185,72114,60900
CA,0.9900000095,0.7599999905,27.5900001526,18711,51800
CA,NA,NA,NA,NA,51800
CA,NA,NA,NA,NA,51800
CA,NA,NA,NA,NA,51800
CA,NA,NA,NA,NA,51800
CA,NA,NA,NA,NA,51800
CA,0.7599999905,0.6700000167,24.3999996185,28069.5,48100
CA,0.7300000191,0.6899999976,23.6499996185,31658.5,44900
CA,0.75,0.6800000072,24.0400009155,28986.5,45500
CA,0.6899999976,0.4600000083,21.7399997711,30962,52000
CA,0.8700000048,0.5500000119,22.2900009155,37864,45100
CA,0.7200000286,0.6899999976,25.5200004578,25199.5,42800
CA,0.6999999881,0.6100000143,22.3600006104,28781,43200
CA,0.7099999785,0.6000000238,22.6000003815,31500,46500
CA,0.7200000286,0.6499999762,24.8199996948,22898,51300
CA,0.7200000286,0.6200000048,22.1900005341,30725,46900
CA,0.5600000024,0.6399999857,24.2099990845,20015,44900
CA,0.6800000072,0.6200000048,22.6399993896,27373,44200
CA,0.7599999905,0.6100000143,23.1399993896,28449,46500
CA,0.8399999738,0.5500000119,20.7800006866,39266,62700
CA,0.8899999857,0.5799999833,20.5100002289,41894,57100
CA,0.8500000238,0.5400000215,20.1900005341,50385,55800
CA,0.8600000143,0.5799999833,20.9200000763,34557.5,59200
CA,0.8600000143,0.5699999928,20.0799999237,43078.5,48700
CA,0.8899999857,0.5400000215,20.2000007629,41248,59600
CA,1,0.6700000167,26.5799999237,10032,118900
CA,0.9100000262,0.5699999928,20.0499992371,51240,52000
CA,0.9300000072,0.5600000024,20.2800006866,58508,44600
CA,NA,NA,NA,NA,NA
CA,0.0199999996,0.9800000191,22.6000003815,15094,NA
CA,0.7599999905,0.5500000119,23.7000007629,13057,NA
CA,0.9399999976,0.6100000143,27.3999996185,27022.5,40400
CA,0.9900000095,0.4499999881,25.4500007629,42802,32800
CA,0.6399999857,0.9700000286,26.6200008392,26306,16500
CA,0.9900000095,0.4900000095,23.0499992371,29403.5,32500
CA,0.9700000286,0.150000006,21.6000003815,60317.5,81100
CA,1,0.5099999905,26.2800006866,3702.5,85900
CA,0.0299999993,0.6999999881,28.5599994659,14050,29300
CA,0.3400000036,0.6200000048,23.8299999237,22882.5,34200
CA,0.6600000262,0.9300000072,28.5699996948,18295,18400
CA,0.9599999785,0.7699999809,27.6399993896,26522,47400
CA,0.9599999785,0.7699999809,27.6399993896,26522,47400
CA,0.5799999833,0.4900000095,32.2900009155,13334,21600
CA,0.5799999833,0.4900000095,32.2900009155,13334,21600
CA,0.5799999833,0.4900000095,32.2900009155,13334,21600
CA,0.5799999833,0.4900000095,32.2900009155,13334,21600
CA,0.5799999833,0.4900000095,32.2900009155,13334,21600
CA,0.5799999833,0.4900000095,32.2900009155,13334,21600
CA,0.5799999833,0.4900000095,32.2900009155,13334,21600
CA,0.1000000015,0.6399999857,23.6000003815,18314,31400
CA,0.150000006,0.6800000072,28.3400001526,10546,24900
CA,0.1099999994,0.6299999952,24.9500007629,13357,32900
CA,0.0399999991,0.6899999976,25.2999992371,17705.5,28100
CA,0.9700000286,0.6800000072,27.7199993134,53889,51800
CA,0.9499999881,0.5600000024,32.5499992371,24388,63000
CA,0.9599999785,0.6100000143,22,71434,42100
CA,0.9499999881,0.5799999833,23.0100002289,51463,34400
CA,NA,NA,NA,NA,NA
CA,0.1400000006,0.6000000238,23.6299991608,17848.5,29100
CA,NA,NA,NA,NA,NA
CA,0.2300000042,0.5600000024,26.7900009155,10322,36900
CA,1,0.5299999714,28.2099990845,8205.5,60800
CA,0.9599999785,0.4600000083,19.5400009155,88986.5,63600
CA,0.9399999976,0.8700000048,26.4200000763,15927,23400
CA,0,0.9700000286,31.3999996185,17970.5,33000
CA,0.3400000036,0.6000000238,32.4700012207,15388.5,30500
CA,0.9399999976,0.1199999973,22.5100002289,48065.5,48500
